Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Batula Salma Sharmarke Warsame,"Quartier Ambouli, Djibouti",batula.sharmarkewarsame@example.com,25377772600,Djibouti,Militaire,16,BTS en Militaire,Institut de Formation Professionnelle,"Discipline, Combat, Maintenance d'équipements, Physique, Communication","PMP (École Nationale de Commerce), CAPES (École Nationale de Commerce)","Arabe (Débutant), Français (Courant)","Football, Voyage, Photographie","['Militaire Junior chez Lejeune (2024-2025): Stratégie, Communication, Combat, Premiers secours', ""Militaire chez Djibouti Telecom (2020-2024): Discipline, Combat, Maintenance d'équipements, Communication"", 'Militaire chez Didier S.A.R.L. (2018-2020): Communication, Combat', 'Militaire chez Djibouti Telecom (2017-2018): Discipline, Communication', ""Militaire chez Ministère de l’Éducation (2014-2017): Discipline, Combat, Physique, Premiers secours, Maintenance d'équipements""]","['Arthur Regnier, Superviseur, arthur.regnier']",Français,pdf,classic
Léo Sokolov,"94, chemin Geneviève Lebreton
43701 Marie-sur-Leroy",léo.sokolov@example.com,25377919044,French,Technicien de maintenance,18,Doctorat en {job},Université de Djibouti,"Rapport, Normes de sécurité, Lecture de schémas, Maintenance préventive, Dépannage, Utilisation d'outils",PMP (Centre de Formation Technique de Balbala),Français (Courant),"Voyage, Cuisine, Musique","[""Technicien de maintenance chez Lopes (2020-2025): Dépannage, Rapport, Normes de sécurité, Utilisation d'outils"", ""Technicien de maintenance Senior chez Ministère de l’Éducation (2018-2020): Utilisation d'outils, Maintenance préventive, Rapport"", ""Technicien de maintenance Junior chez Électricité de Djibouti (2013-2018): Dépannage, Lecture de schémas, Utilisation d'outils, Normes de sécurité"", 'Technicien de maintenance chez Weiss (2008-2013): Lecture de schémas, Rapport, Normes de sécurité', 'Technicien de maintenance Junior chez Djibouti Telecom (2007-2008): Rapport, Maintenance préventive']","['Steven Avila, Collègue, steven.avila']",Français,pdf,modern
Hersi Mohamed Sharmarke Warsame,"Cité Arhiba, Djibouti",hersi.sharmarkewarsame@example.com,25377469852,Djibouti,Analyste financier,19,BTS en Analyste financier,Centre de Formation Technique de Balbala,"Modélisation financière, Analyse de données, Rapport, Évaluation des risques, Connaissance des marchés","PMP (Lycée d’État de Djibouti), Cisco CCNA (Lycée d’État de Djibouti)","Français (Intermédiaire), Somali (Intermédiaire)","Lecture, Musique","['Analyste financier Junior chez Blin (2021-2025): Rapport, Modélisation financière, Analyse de données', 'Analyste financier Junior chez Pineau (2018-2021): Modélisation financière, Rapport, Analyse de données, Connaissance des marchés, Évaluation des risques', 'Analyste financier Senior chez Ministère de l’Éducation (2017-2018): Connaissance des marchés, Modélisation financière', 'Analyste financier Senior chez Foucher Mallet S.A.S. (2012-2017): Excel avancé, Connaissance des marchés, Évaluation des risques', 'Analyste financier Junior chez Djibouti Telecom (2010-2012): Modélisation financière, Évaluation des risques, Connaissance des marchés, Rapport', 'Analyste financier Junior chez Mendès et Fils (2009-2010): Analyse de données, Modélisation financière, Évaluation des risques, Excel avancé, Connaissance des marchés']","['Hugues Michaud, Superviseur, hugues.michaud', 'Margaret Meyer du Pires, Manager, margaret.meyer.du.pires']",Français,pdf,classic
Sharmarke Ikran Barkat Kalif,"Boulevard de la République, Djibouti",sharmarke.barkatkalif@example.com,25377193096,Djibouti,Consultant,14,Licence en Consultant,Lycée d’État de Djibouti,"Recherche, Présentation, Gestion de projets, Communication client, Conseil stratégique","CompTIA Security+ (Institut de Formation Professionnelle), Microsoft Certified: Azure Fundamentals (Centre de Formation Technique de Balbala), Cisco CCNA (École Nationale de Commerce)","Arabe (Courant), Français (Intermédiaire)","Cuisine, Football","['Consultant chez Pereira (2024-2025): Conseil stratégique, Analyse de problèmes', 'Consultant chez Perret (2021-2024): Conseil stratégique, Analyse de problèmes', 'Consultant Senior chez Ministère de l’Éducation (2016-2021): Communication client, Gestion de projets, Conseil stratégique, Analyse de problèmes, Recherche']","['William-Daniel Jacob, Collègue, william-daniel.jacob', 'Isabelle Mace, Manager, isabelle.mace']",Français,pdf,classic
Anwar Mohamed Awaleh Barkat,"Quartier Ambouli, Djibouti",anwar.awalehbarkat@example.com,25377735885,Djibouti,Graphiste,6,Master en Graphiste,Lycée d’État de Djibouti,"Photoshop, Créativité, Conception graphique, Gestion de projets, Illustrator","Coursera Machine Learning (Centre de Formation Technique de Balbala), Microsoft Certified: Azure Fundamentals (Institut de Formation Professionnelle)","Arabe (Débutant), Français (Débutant), Somali (Débutant)","Lecture, Musique, Photographie, Football","['Graphiste Senior chez Mathieu SARL (2022-2025): Créativité, Communication client, Gestion de projets, Conception graphique', 'Graphiste Junior chez Aéroport International de Djibouti (2020-2022): Créativité, Communication client', 'Graphiste Senior chez Lombard (2019-2020): Créativité, Communication client, Gestion de projets']","['William du Garnier, Manager, william.du.garnier']",Français,pdf,compact
Rahimo Ayman Awaleh Guedi,"Avenue Gabode, Djibouti",rahimo.awalehguedi@example.com,25377753582,Djibouti,Photographe,4,Diplôme professionnel,Lycée d’État de Djibouti,"Photographie, Communication client, Gestion d'équipements, Éclairage, Créativité, Retouche d'images","CFA Level 1 (Institut de Formation Professionnelle), CAPES (Institut de Formation Professionnelle), Microsoft Certified: Azure Fundamentals (Lycée d’État de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire), Afar (Débutant), Anglais (Courant)","Football, Photographie","[""Photographe Junior chez Aéroport International de Djibouti (2022-2025): Créativité, Gestion d'équipements, Photographie, Retouche d'images"", ""Photographe Junior chez Fleury (2021-2022): Photographie, Gestion d'équipements, Éclairage""]","['Victoria Reid, Superviseur, victoria.reid']",Français,pdf,compact
Amal Youssouf Jamal Sharmarke,"Quartier Ambouli, Djibouti",amal.jamalsharmarke@example.com,25377180849,Djibouti,Vidéaste,20,BTS en Vidéaste,Institut de Formation Professionnelle,"Tournage, Créativité, Son, Éclairage",CAPES (Lycée d’État de Djibouti),"Arabe (Courant), Français (Intermédiaire)","Cuisine, Musique","['Vidéaste chez Hôpital Général Peltier (2023-2025): Tournage, Son, Logiciels de montage', 'Vidéaste Junior chez Banque de Djibouti (2018-2023): Son, Tournage', 'Vidéaste Junior chez Djibouti Telecom (2015-2018): Montage vidéo, Son, Tournage, Logiciels de montage', 'Vidéaste Senior chez Banque de Djibouti (2011-2015): Créativité, Logiciels de montage, Éclairage, Montage vidéo', 'Vidéaste Senior chez Bonneau S.A.R.L. (2009-2011): Montage vidéo, Son, Logiciels de montage, Créativité']","['Eugène Gimenez, Superviseur, eugène.gimenez', 'Catherine Dupré, Collègue, catherine.dupré']",Anglais,pdf,modern
Fadumo Abdi Saad Abdi,"Cité Arhiba, Djibouti",fadumo.saadabdi@example.com,25377544384,Djibouti,Monteur vidéo,4,Master en Monteur vidéo,Université de Djibouti,"Effets spéciaux, Montage, Synchronisation audio, Logiciels (Premiere, Final Cut), Créativité","IELTS (Centre de Formation Technique de Balbala), First Aid Certification (Université de Djibouti)","Arabe (Courant), Afar (Courant), Anglais (Débutant)","Musique, Voyage","['Monteur vidéo Senior chez Godard (2023-2025): Créativité, Logiciels (Premiere, Final Cut), Effets spéciaux, Montage', 'Monteur vidéo Junior chez Ministère de l’Éducation (2021-2023): Synchronisation audio, Effets spéciaux']","['David Gallegos, Collègue, david.gallegos']",Français,pdf,modern
Shaafi Barkhad Nouradin Tahlil,"Cité Arhiba, Djibouti",shaafi.nouradintahlil@example.com,25377938131,Djibouti,Rédacteur,6,Baccalauréat,École Nationale de Commerce,"Recherche, Correction, Rédaction, SEO","Google Data Analytics (École Nationale de Commerce), Microsoft Certified: Azure Fundamentals (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Courant)","Cuisine, Football","['Rédacteur Senior chez Pires (2022-2025): Correction, Communication, Créativité, Recherche', 'Rédacteur Junior chez Djibouti Telecom (2019-2022): Correction, Communication']","['Jérôme Leclerc, Manager, jérôme.leclerc', 'Jules Garcia, Superviseur, jules.garcia']",Français,pdf,classic
Lubna Abokor Jamal Sharmarke,"Avenue Gabode, Djibouti",lubna.jamalsharmarke@example.com,25377634023,Djibouti,Traducteur,8,Licence en Traducteur,Université de Djibouti,"Gestion du temps, Traduction, Connaissance linguistique, Recherche terminologique, Précision",AWS Certified Solutions Architect (Institut de Formation Professionnelle),Français (Courant),"Photographie, Lecture, Football","['Traducteur Senior chez Électricité de Djibouti (2021-2025): Gestion du temps, Traduction', 'Traducteur Senior chez Banque de Djibouti (2020-2021): Traduction, Gestion du temps, Connaissance linguistique, Précision, Recherche terminologique', 'Traducteur Junior chez Hôpital Général Peltier (2017-2020): Traduction, Recherche terminologique']","['Gilles Roy-Millet, Superviseur, gilles.roy-millet', 'Henri Didier Le Gosselin, Collègue, henri.didier.le.gosselin']",Français,pdf,classic
Hawa Ayan Farah Hersi,"Boulevard de la République, Djibouti",hawa.farahhersi@example.com,25377258652,Djibouti,Interprète,9,Diplôme professionnel,École Nationale de Commerce,"Gestion du stress, Interprétation simultanée, Communication, Écoute active, Connaissance linguistique","CFA Level 1 (Lycée d’État de Djibouti), Cisco CCNA (Université de Djibouti)","Arabe (Intermédiaire), Français (Courant), Somali (Intermédiaire)","Voyage, Cuisine","['Interprète chez Blot Berthelot et Fils (2024-2025): Gestion du stress, Interprétation simultanée, Connaissance linguistique, Écoute active, Communication', 'Interprète chez Banque de Djibouti (2022-2024): Connaissance linguistique, Communication']","['Alfred du Duval, Superviseur, alfred.du.duval', 'Anne Chandler, Superviseur, anne.chandler']",Français,pdf,compact
Michael Gebre,"PSC 3902, Box 3103
APO AP 17224",michael.gebre@example.com,25377248625,English,Bibliothécaire,15,Diplôme professionnel,Centre de Formation Technique de Balbala,"Gestion de collections, Recherche documentaire, Informatique, Organisation, Service client","Coursera Machine Learning (École Nationale de Commerce), PMP (École Nationale de Commerce)","Anglais (Débutant), Français (Intermédiaire)","Voyage, Cuisine, Lecture, Musique","['Bibliothécaire Senior chez Hôpital Général Peltier (2020-2025): Gestion de collections, Recherche documentaire', 'Bibliothécaire Junior chez Djibouti Telecom (2017-2020): Recherche documentaire, Informatique, Gestion de collections, Organisation, Service client', 'Bibliothécaire chez Djibouti Telecom (2012-2017): Informatique, Organisation, Recherche documentaire, Gestion de collections']","['Jonathan Gardner, Manager, jonathan.gardner']",Français,pdf,classic
Rachid Batula Samatar Mahdi,"Rue de Balbala, Djibouti",rachid.samatarmahdi@example.com,25377287063,Djibouti,Archiviste,16,Master en Archiviste,Université de Djibouti,"Numérisation, Recherche, Organisation, Connaissance historique, Gestion d'archives",Scrum Master (Institut de Formation Professionnelle),"Arabe (Débutant), Français (Courant), Afar (Intermédiaire)","Photographie, Cuisine, Lecture, Football","['Archiviste Junior chez Ministère de l’Éducation (2024-2025): Recherche, Numérisation, Connaissance historique, Organisation', 'Archiviste chez Mathieu (2019-2024): Numérisation, Recherche, Connaissance historique, Organisation', ""Archiviste Senior chez Banque de Djibouti (2015-2019): Gestion d'archives, Recherche, Connaissance historique, Numérisation"", ""Archiviste chez Hôpital Général Peltier (2014-2015): Organisation, Gestion d'archives, Recherche""]","['Alicia Cook, Superviseur, alicia.cook']",Français,pdf,compact
Abshir Sagal Salah Djamal,"Quartier Ambouli, Djibouti",abshir.salahdjamal@example.com,25377871855,Djibouti,Conservateur de musée,4,Licence en Conservateur de musée,Lycée d’État de Djibouti,"Gestion de collections, Recherche, Organisation d'expositions, Conservation",First Aid Certification (Université de Djibouti),"Arabe (Intermédiaire), Afar (Débutant), Anglais (Débutant)","Football, Lecture","[""Conservateur de musée chez Djibouti Telecom (2023-2025): Organisation d'expositions, Communication, Gestion de collections, Recherche""]","['Arthur Carre, Superviseur, arthur.carre', 'Guillaume de Mace, Manager, guillaume.de.mace']",Français,pdf,compact
Mako Zakaria Barkat Duale,"Boulevard de la République, Djibouti",mako.barkatduale@example.com,25377343196,Djibouti,Guide touristique,15,Master en Guide touristique,Institut de Formation Professionnelle,"Communication, Service client, Multilinguisme, Connaissance culturelle",Scrum Master (École Nationale de Commerce),"Arabe (Débutant), Français (Débutant)","Musique, Lecture","['Guide touristique Senior chez Hôpital Général Peltier (2020-2025): Communication, Connaissance culturelle', 'Guide touristique chez Djibouti Telecom (2015-2020): Organisation, Connaissance culturelle, Communication, Multilinguisme, Service client', 'Guide touristique chez Hôpital Général Peltier (2011-2015): Service client, Connaissance culturelle, Organisation, Multilinguisme', 'Guide touristique Senior chez Hôpital Général Peltier (2010-2011): Connaissance culturelle, Communication, Multilinguisme']","['Virginie Girard, Collègue, virginie.girard']",Français,pdf,compact
Ali Sudi Ali Tahlil,"Quartier Ambouli, Djibouti",ali.alitahlil@example.com,25377517557,Djibouti,Agent de voyage,1,Licence en Agent de voyage,Institut de Formation Professionnelle,"Réservations, Planification de voyages, Connaissance des destinations, Conseil client, Communication","Cisco CCNA (Université de Djibouti), Google Data Analytics (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Débutant)","Football, Lecture, Cuisine","['Agent de voyage Senior chez Hôpital Général Peltier (2024-2025): Conseil client, Planification de voyages, Communication, Connaissance des destinations']","['Diane de la Buisson, Manager, diane.de.la.buisson']",Français,pdf,compact
Rukia Roda Omar Abdi,"Quartier Ambouli, Djibouti",rukia.omarabdi@example.com,25377300646,Djibouti,Pilote,10,Master en Pilote,Lycée d’État de Djibouti,"Pilotage, Maintenance, Gestion du stress, Sécurité aérienne, Navigation",Microsoft Certified: Azure Fundamentals (Lycée d’État de Djibouti),"Arabe (Débutant), Somali (Courant)","Photographie, Musique, Lecture","['Pilote chez Petit SA (2021-2025): Communication, Navigation, Pilotage', 'Pilote chez Aéroport International de Djibouti (2019-2021): Sécurité aérienne, Communication, Maintenance', 'Pilote Junior chez Djibouti Telecom (2016-2019): Gestion du stress, Pilotage, Maintenance, Sécurité aérienne']","['James Crane, Superviseur, james.crane', 'Manon Valentin, Collègue, manon.valentin']",Français,pdf,modern
